id,kode_provinsi,nama_provinsi,jumlah_penduduk,satuan,tahun
1,11,ACEH,5281300,JIWA,2018
2,12,SUMATERA UTARA,14415400,JIWA,2018
3,13,SUMATERA BARAT,5382100,JIWA,2018
4,14,RIAU,6814900,JIWA,2018
5,15,JAMBI,3570300,JIWA,2018
6,16,SUMATERA SELATAN,8370300,JIWA,2018
7,17,BENGKULU,1963300,JIWA,2018
8,18,LAMPUNG,8370500,JIWA,2018
9,19,KEPULAUAN BANGKA BELITUNG,1459900,JIWA,2018
10,21,KEPULAUAN RIAU,2136500,JIWA,2018
11,31,DKI JAKARTA,10467600,JIWA,2018
12,32,JAWA BARAT,48683700,JIWA,2018
13,33,JAWA TENGAH,34490800,JIWA,2018
14,34,DI YOGYAKARTA,3802900,JIWA,2018
15,35,JAWA TIMUR,39500900,JIWA,2018
16,36,BANTEN,12689700,JIWA,2018
17,51,BALI,4292200,JIWA,2018
18,52,NUSA TENGGARA BARAT,5013700,JIWA,2018
19,53,NUSA TENGGARA TIMUR,5371500,JIWA,2018
20,61,KALIMANTAN BARAT,5001700,JIWA,2018
21,62,KALIMANTAN TENGAH,2660200,JIWA,2018
22,63,KALIMANTAN SELATAN,4182700,JIWA,2018
23,64,KALIMANTAN TIMUR,3648800,JIWA,2018
24,65,KALIMANTAN UTARA,716400,JIWA,2018
25,71,SULAWESI UTARA,2484400,JIWA,2018
26,72,SULAWESI TENGAH,3010400,JIWA,2018
27,73,SULAWESI SELATAN,8772000,JIWA,2018
28,74,SULAWESI TENGGARA,2653700,JIWA,2018
29,75,GORONTALO,1185500,JIWA,2018
30,76,SULAWESI BARAT,1355600,JIWA,2018
31,81,MALUKU,1773800,JIWA,2018
32,82,MALUKU UTARA,1232600,JIWA,2018
33,91,PAPUA BARAT,937500,JIWA,2018
34,94,PAPUA,3322500,JIWA,2018
35,11,ACEH,5371500,JIWA,2019
36,12,SUMATERA UTARA,14562500,JIWA,2019
37,13,SUMATERA BARAT,5441200,JIWA,2019
38,14,RIAU,6971700,JIWA,2019
39,15,JAMBI,3624600,JIWA,2019
40,16,SUMATERA SELATAN,8470700,JIWA,2019
41,17,BENGKULU,1991800,JIWA,2019
42,18,LAMPUNG,8447700,JIWA,2019
43,19,KEPULAUAN BANGKA BELITUNG,1488800,JIWA,2019
44,21,KEPULAUAN RIAU,2189700,JIWA,2019
45,31,DKI JAKARTA,10557800,JIWA,2019
46,32,JAWA BARAT,49316700,JIWA,2019
47,33,JAWA TENGAH,34718200,JIWA,2019
48,34,DI YOGYAKARTA,3842900,JIWA,2019
49,35,JAWA TIMUR,39698600,JIWA,2019
50,36,BANTEN,12927300,JIWA,2019
51,51,BALI,4336900,JIWA,2019
52,52,NUSA TENGGARA BARAT,5070400,JIWA,2019
53,53,NUSA TENGGARA TIMUR,5456200,JIWA,2019
54,61,KALIMANTAN BARAT,5069100,JIWA,2019
55,62,KALIMANTAN TENGAH,2714900,JIWA,2019
56,63,KALIMANTAN SELATAN,4244100,JIWA,2019
57,64,KALIMANTAN TIMUR,3721400,JIWA,2019
58,65,KALIMANTAN UTARA,742200,JIWA,2019
59,71,SULAWESI UTARA,2507000,JIWA,2019
60,72,SULAWESI TENGAH,3054000,JIWA,2019
61,73,SULAWESI SELATAN,8851200,JIWA,2019
62,74,SULAWESI TENGGARA,2704700,JIWA,2019
63,75,GORONTALO,1202600,JIWA,2019
64,76,SULAWESI BARAT,1380300,JIWA,2019
65,81,MALUKU,1802900,JIWA,2019
66,82,MALUKU UTARA,1255800,JIWA,2019
67,91,PAPUA BARAT,959600,JIWA,2019
68,94,PAPUA,3379300,JIWA,2019
69,11,ACEH,5259730,JIWA,2020
70,12,SUMATERA UTARA,14756780,JIWA,2020
71,13,SUMATERA BARAT,5516500,JIWA,2020
72,14,RIAU,6376095,JIWA,2020
73,15,JAMBI,3538810,JIWA,2020
74,16,SUMATERA SELATAN,8447760,JIWA,2020
75,17,BENGKULU,2005050,JIWA,2020
76,18,LAMPUNG,8984880,JIWA,2020
77,19,KEPULAUAN BANGKA BELITUNG,1451310,JIWA,2020
78,21,KEPULAUAN RIAU,2057860,JIWA,2020
79,31,DKI JAKARTA,10567060,JIWA,2020
80,32,JAWA BARAT,48152280,JIWA,2020
81,33,JAWA TENGAH,36433390,JIWA,2020
82,34,DI YOGYAKARTA,3662110,JIWA,2020
83,35,JAWA TIMUR,40601370,JIWA,2020
84,36,BANTEN,11874590,JIWA,2020
85,51,BALI,4311670,JIWA,2020
86,52,NUSA TENGGARA BARAT,5299870,JIWA,2020
87,53,NUSA TENGGARA TIMUR,5306950,JIWA,2020
88,61,KALIMANTAN BARAT,5398400,JIWA,2020
89,62,KALIMANTAN TENGAH,2662450,JIWA,2020
90,63,KALIMANTAN SELATAN,4062580,JIWA,2020
91,64,KALIMANTAN TIMUR,3757220,JIWA,2020
92,65,KALIMANTAN UTARA,699730,JIWA,2020
93,71,SULAWESI UTARA,2617650,JIWA,2020
94,72,SULAWESI TENGAH,2978380,JIWA,2020
95,73,SULAWESI SELATAN,9052710,JIWA,2020
96,74,SULAWESI TENGGARA,2615030,JIWA,2020
97,75,GORONTALO,1168500,JIWA,2020
98,76,SULAWESI BARAT,1414580,JIWA,2020
99,81,MALUKU,1843790,JIWA,2020
100,82,MALUKU UTARA,1280660,JIWA,2020
101,91,PAPUA BARAT,1130030,JIWA,2020
102,94,PAPUA,4290760,JIWA,2020
103,11,ACEH,5334900,JIWA,2021
104,12,SUMATERA UTARA,14970500,JIWA,2021
105,13,SUMATERA BARAT,5597310,JIWA,2021
106,14,RIAU,6466763,JIWA,2021
107,15,JAMBI,3586400,JIWA,2021
108,16,SUMATERA SELATAN,8548610,JIWA,2021
109,17,BENGKULU,2032380,JIWA,2021
110,18,LAMPUNG,9096520,JIWA,2021
111,19,KEPULAUAN BANGKA BELITUNG,1471790,JIWA,2021
112,21,KEPULAUAN RIAU,2089890,JIWA,2021
113,31,DKI JAKARTA,10605440,JIWA,2021
114,32,JAWA BARAT,48738810,JIWA,2021
115,33,JAWA TENGAH,36811140,JIWA,2021
116,34,DI YOGYAKARTA,3687770,JIWA,2021
117,35,JAWA TIMUR,40921080,JIWA,2021
118,36,BANTEN,12022950,JIWA,2021
119,51,BALI,4343450,JIWA,2021
120,52,NUSA TENGGARA BARAT,5387150,JIWA,2021
121,53,NUSA TENGGARA TIMUR,5394380,JIWA,2021
122,61,KALIMANTAN BARAT,5474710,JIWA,2021
123,62,KALIMANTAN TENGAH,2700080,JIWA,2021
124,63,KALIMANTAN SELATAN,4116890,JIWA,2021
125,64,KALIMANTAN TIMUR,3803460,JIWA,2021
126,65,KALIMANTAN UTARA,709970,JIWA,2021
127,71,SULAWESI UTARA,2639450,JIWA,2021
128,72,SULAWESI TENGAH,3015000,JIWA,2021
129,73,SULAWESI SELATAN,9156860,JIWA,2021
130,74,SULAWESI TENGGARA,2659940,JIWA,2021
131,75,GORONTALO,1183530,JIWA,2021
132,76,SULAWESI BARAT,1436720,JIWA,2021
133,81,MALUKU,1869520,JIWA,2021
134,82,MALUKU UTARA,1299630,JIWA,2021
135,91,PAPUA BARAT,1149370,JIWA,2021
136,94,PAPUA,4356800,JIWA,2021
137,11,ACEH,5409190,JIWA,2022
138,12,SUMATERA UTARA,15180530,JIWA,2022
139,13,SUMATERA BARAT,5677550,JIWA,2022
140,14,RIAU,6555746,JIWA,2022
141,15,JAMBI,3633190,JIWA,2022
142,16,SUMATERA SELATAN,8647260,JIWA,2022
143,17,BENGKULU,2059370,JIWA,2022
144,18,LAMPUNG,9206260,JIWA,2022
145,19,KEPULAUAN BANGKA BELITUNG,1491990,JIWA,2022
146,21,KEPULAUAN RIAU,2121480,JIWA,2022
147,31,DKI JAKARTA,10640010,JIWA,2022
148,32,JAWA BARAT,49306780,JIWA,2022
149,33,JAWA TENGAH,37180410,JIWA,2022
150,34,DI YOGYAKARTA,3712570,JIWA,2022
151,35,JAWA TIMUR,41229980,JIWA,2022
152,36,BANTEN,12167040,JIWA,2022
153,51,BALI,4374310,JIWA,2022
154,52,NUSA TENGGARA BARAT,5473970,JIWA,2022
155,53,NUSA TENGGARA TIMUR,5481790,JIWA,2022
156,61,KALIMANTAN BARAT,5549700,JIWA,2022
157,62,KALIMANTAN TENGAH,2737190,JIWA,2022
158,63,KALIMANTAN SELATAN,4170170,JIWA,2022
159,64,KALIMANTAN TIMUR,3856780,JIWA,2022
160,65,KALIMANTAN UTARA,720060,JIWA,2022
161,71,SULAWESI UTARA,2660760,JIWA,2022
162,72,SULAWESI TENGAH,3051150,JIWA,2022
163,73,SULAWESI SELATAN,9260070,JIWA,2022
164,74,SULAWESI TENGGARA,2704610,JIWA,2022
165,75,GORONTALO,1198420,JIWA,2022
166,76,SULAWESI BARAT,1458890,JIWA,2022
167,81,MALUKU,1895070,JIWA,2022
168,82,MALUKU UTARA,1318470,JIWA,2022
169,91,PAPUA BARAT,1168420,JIWA,2022
170,94,PAPUA,4420740,JIWA,2022
171,11,ACEH,5482530,JIWA,2023
172,12,SUMATERA UTARA,15386640,JIWA,2023
173,13,SUMATERA BARAT,5757210,JIWA,2023
174,14,RIAU,6642874,JIWA,2023
175,15,JAMBI,3679170,JIWA,2023
176,16,SUMATERA SELATAN,8743520,JIWA,2023
177,17,BENGKULU,2086010,JIWA,2023
178,18,LAMPUNG,9313990,JIWA,2023
179,19,KEPULAUAN BANGKA BELITUNG,1511900,JIWA,2023
180,21,KEPULAUAN RIAU,2152630,JIWA,2023
181,31,DKI JAKARTA,10672100,JIWA,2023
182,32,JAWA BARAT,49860330,JIWA,2023
183,33,JAWA TENGAH,37540960,JIWA,2023
184,34,DI YOGYAKARTA,3736490,JIWA,2023
185,35,JAWA TIMUR,41527930,JIWA,2023
186,36,BANTEN,12307730,JIWA,2023
187,51,BALI,4404260,JIWA,2023
188,52,NUSA TENGGARA BARAT,5560290,JIWA,2023
189,53,NUSA TENGGARA TIMUR,5569070,JIWA,2023
190,61,KALIMANTAN BARAT,5623330,JIWA,2023
191,62,KALIMANTAN TENGAH,2773750,JIWA,2023
192,63,KALIMANTAN SELATAN,4222330,JIWA,2023
193,64,KALIMANTAN TIMUR,3909740,JIWA,2023
194,65,KALIMANTAN UTARA,730010,JIWA,2023
195,71,SULAWESI UTARA,2681540,JIWA,2023
196,72,SULAWESI TENGAH,3086750,JIWA,2023
197,73,SULAWESI SELATAN,9362290,JIWA,2023
198,74,SULAWESI TENGGARA,2749010,JIWA,2023
199,75,GORONTALO,1213180,JIWA,2023
200,76,SULAWESI BARAT,1481080,JIWA,2023
201,81,MALUKU,1920460,JIWA,2023
202,82,MALUKU UTARA,1337150,JIWA,2023
203,91,PAPUA BARAT,1187270,JIWA,2023
204,94,PAPUA,4482690,JIWA,2023
205,11,ACEH,5554820,JIWA,2024
206,12,SUMATERA UTARA,15588530,JIWA,2024
207,13,SUMATERA BARAT,5836160,JIWA,2024
208,14,RIAU,6728050,JIWA,2024
209,15,JAMBI,3724280,JIWA,2024
210,16,SUMATERA SELATAN,8837300,JIWA,2024
211,17,BENGKULU,2112240,JIWA,2024
212,18,LAMPUNG,9419580,JIWA,2024
213,19,KEPULAUAN BANGKA BELITUNG,1531530,JIWA,2024
214,21,KEPULAUAN RIAU,2183290,JIWA,2024
215,31,DKI JAKARTA,10684950,JIWA,2024
216,32,JAWA BARAT,50345190,JIWA,2024
217,33,JAWA TENGAH,37892280,JIWA,2024
218,34,DI YOGYAKARTA,3759500,JIWA,2024
219,35,JAWA TIMUR,41814500,JIWA,2024
220,36,BANTEN,12431390,JIWA,2024
221,51,BALI,4433260,JIWA,2024
222,52,NUSA TENGGARA BARAT,5646020,JIWA,2024
223,53,NUSA TENGGARA TIMUR,5656040,JIWA,2024
224,61,KALIMANTAN BARAT,5695480,JIWA,2024
225,62,KALIMANTAN TENGAH,2809700,JIWA,2024
226,63,KALIMANTAN SELATAN,4273400,JIWA,2024
227,64,KALIMANTAN TIMUR,4045860,JIWA,2024
228,65,KALIMANTAN UTARA,739780,JIWA,2024
229,71,SULAWESI UTARA,2701780,JIWA,2024
230,72,SULAWESI TENGAH,3121750,JIWA,2024
231,73,SULAWESI SELATAN,9463390,JIWA,2024
232,74,SULAWESI TENGGARA,2793070,JIWA,2024
233,75,GORONTALO,1227790,JIWA,2024
234,76,SULAWESI BARAT,1503230,JIWA,2024
235,81,MALUKU,1945650,JIWA,2024
236,82,MALUKU UTARA,1355620,JIWA,2024
237,91,PAPUA BARAT,1205820,JIWA,2024
238,94,PAPUA,4542580,JIWA,2024
239,11,ACEH,5625960,JIWA,2025
240,12,SUMATERA UTARA,15785840,JIWA,2025
241,13,SUMATERA BARAT,5914300,JIWA,2025
242,14,RIAU,6811160,JIWA,2025
243,15,JAMBI,3768480,JIWA,2025
244,16,SUMATERA SELATAN,8928520,JIWA,2025
245,17,BENGKULU,2138040,JIWA,2025
246,18,LAMPUNG,9522910,JIWA,2025
247,19,KEPULAUAN BANGKA BELITUNG,1550820,JIWA,2025
248,21,KEPULAUAN RIAU,2213460,JIWA,2025
249,31,DKI JAKARTA,10677980,JIWA,2025
250,32,JAWA BARAT,50759000,JIWA,2025
251,33,JAWA TENGAH,38233930,JIWA,2025
252,34,DI YOGYAKARTA,3781550,JIWA,2025
253,35,JAWA TIMUR,42089270,JIWA,2025
254,36,BANTEN,12537440,JIWA,2025
255,51,BALI,4461270,JIWA,2025
256,52,NUSA TENGGARA BARAT,5731110,JIWA,2025
257,53,NUSA TENGGARA TIMUR,5742560,JIWA,2025
258,61,KALIMANTAN BARAT,5766030,JIWA,2025
259,62,KALIMANTAN TENGAH,2844990,JIWA,2025
260,63,KALIMANTAN SELATAN,4323330,JIWA,2025
261,64,KALIMANTAN TIMUR,4267600,JIWA,2025
262,65,KALIMANTAN UTARA,749370,JIWA,2025
263,71,SULAWESI UTARA,2721440,JIWA,2025
264,72,SULAWESI TENGAH,3156100,JIWA,2025
265,73,SULAWESI SELATAN,9563130,JIWA,2025
266,74,SULAWESI TENGGARA,2836740,JIWA,2025
267,75,GORONTALO,1242240,JIWA,2025
268,76,SULAWESI BARAT,1525340,JIWA,2025
269,81,MALUKU,1970560,JIWA,2025
270,82,MALUKU UTARA,1373820,JIWA,2025
271,91,PAPUA BARAT,1224080,JIWA,2025
272,94,PAPUA,4600430,JIWA,2025
